gene_id,symbol,entrezid,gene_biotype,Biological Group,,,,,,,,,,,,,,,,,,,,
,,,,LT-HSC,,,LSK,,,PROG,,,CMP,,,GMP,,,MEP,,,LIN,,
ENSMUSG00000000167,Pih1d2,72614,protein_coding,3,23.06559,7.10759,34.7371,30.67665993,8.00228,4.01324,41.4434,73.2781,4.0312,22.015,6.083921,0,26.4178,5.05542,7.00664,47.17555,7.45743,14.5539,28.1961,20.4903
ENSMUSG00000000168,Dlat,235339,protein_coding,88,168.0003,140,135.00049,154.9999,105.0002438,26.000009,116,220,13.99995,50.99998874,79.99999,35.00004,107.99997,95,32.99996,286.0003,291.0003,49,91,97
ENSMUSG00000000171,Sdhd,66925,protein_coding,302,1428,363,385,1754,701,212,236,508,220,549,374,445,1569,457,494,4288,1147,68,74,168
ENSMUSG00000000182,Fgf23,64654,protein_coding,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0
ENSMUSG00000000183,Fgf6,14177,protein_coding,1.01299,0,1.002,0,0,2.01004,0,0,0,0,0,0,0,0,0,0,0,1,1.01828,2.0446,0
ENSMUSG00000000194,Gpr107,277463,protein_coding,128.29221,96.43659,166.2428,236.45,128.9497,109.01668,26.512619,239.3237,396.201974,19.93935,93.046615,101.5789928,15.399389,45.18529,11.9526,25.52869,178.9692,220.0914,366.7159,324.0729,316.4318
ENSMUSG00000000197,Nalcn,338370,protein_coding,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000202,Btbd17,72014,protein_coding,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000000204,Slfn4,,protein_coding,24.7395,0,11.6158,0,4.32879,1.87157,20.1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000214,Th,21823,protein_coding,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000215,Ins2,,protein_coding,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000216,Scnn1g,20278,protein_coding,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
ENSMUSG00000000223,Drp2,13497,protein_coding,3,0,1.00156,4.04328,0,0,2.00178,3.006236,6.02566,0,0,1,0,0,0,0,0,4.40046,9.737317,3.00896,3.00218
ENSMUSG00000000244,Tspan32,27027,protein_coding,197.1655,275.04097,946.1296,488.3587,385.02294,314.29822,88.22968,480.8772228,625.3954,31.05600003,56.1655,81.06534,71.1945,78.24255,27.2378,43.12124,319.25714,332.54301,219.6635162,238.37289,391.49715
ENSMUSG00000000247,Lhx2,16870,protein_coding,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,1
ENSMUSG00000000248,Clec2g,70809,protein_coding,1,0,0,0,0,0,1,1,0,1.14312,0,0,0,0,0,0,0,3,0,4.0146,0
ENSMUSG00000000253,Gmpr,66355,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000263,Glra1,14654,protein_coding,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000000266,Mid2,23947,protein_coding,2,0,0,6.23355,0,0,1.37168,1,0,0,0,0,0,0,0,0,0,1.20783,5.94949,2.0186,1.28964
ENSMUSG00000000275,Trim25,217069,protein_coding,239.13259,140.106817,493.62683,484.27982,437.03435,275.38269,45.832174,261.11109,315.938582,46.609065,139.451403,177.03534,32.004792,68.250594,254.10309,63.945559,182.27243,411.92897,377.6438,447.7288,564.04146
ENSMUSG00000000276,Dgke,56077,protein_coding,32.94907,38.04096,98.0059,144.83643,64.5146,19.012697,8.86547,89.9427,197.03273,7.84846,42.0853,20.35299,1,16.8345,22.8924,8.34879,56.3148,82.3323,128.98296,106.05949,88.8836
ENSMUSG00000000278,Scpep1,74617,protein_coding,116,59,67,48,132,101,17,36,29,31,81,144,9,26,0,8,46,88,41,64,73
ENSMUSG00000000282,Mnt,17428,protein_coding,63,51,103,190,106,109,20,72,170,18,43,59,16.000017,26,193.9996,11,33,35,120,155,167
ENSMUSG00000000290,Itgb2,16414,protein_coding,790.276,187.8912,708.0221828,244.5289,0,0,378.828,3064.56,1535.458,46.9322,78.9905,20.7401188,13.2486,5.724820358,3,8.14299,0,150.966,3234.66,4735.03,6290.982
ENSMUSG00000000295,Hddc2,69692,protein_coding,6.78248,1.02215,5.10921,17.77458,11.2074,7.63861,2.01459,4.03157,27.4811,2.088998,3.06992,3.06885,0,1.01305,1.05814,1.0257,4.10376,5.06378,15.8404,27.60036,6.44045
ENSMUSG00000000296,Tpd52l1,21987,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000301,Pemt,18618,protein_coding,1.21435802,92.05123,34.3831,61.2737,91.99998,51.70278,15.77695,21.00001,6.518797919,30.00004,0.000186345,61.01383,9.276316635,42,0.347466883,7.19278,85.99999,93.00002,18.00001,6,1.900161937
ENSMUSG00000000303,Cdh1,12550,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0.337734,0,0,0,0,0,0,4.81826,0,0
ENSMUSG00000000305,Cdh4,12561,protein_coding,0,0,0,1.801771,0,0,0,0,0,0,0,0,0,0,0,1,0,3.046346,2,0,0.686932
ENSMUSG00000000308,Ckmt1,,protein_coding,2,3,12,2,0,1,5,0,0,0,0,2,1,0,1,0,0,8,3,3,0
ENSMUSG00000000317,Bcl6b,12029,protein_coding,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000318,Clec10a,17312,protein_coding,91.43335,30.38516,57.8091,26.99996,17.6594,81.87606,0,14.3111,27.9358,28,36.74736,35.04063,10,28.18783,0,0,7.00000466,0,30.9285,42.4857,24.4613
ENSMUSG00000000320,Alox12,11684,protein_coding,10.06109,9.28407,18.01968,45.9035,10.1259,2.00022,3.74597,43.71299,61.43019,1.00082,10.1957,5.00063,0,2.36514,1.00132,0,17.1156,16.1371,91.75716,51.77003,61.14402
ENSMUSG00000000325,Arvcf,11877,protein_coding,10.1547,3.02429,7.0666,40.5397,39.14460542,54.482,6,9.08274,30.4608,8.14462,7.03649,28.46759,4.30215,3.00462,0,32.00003,79.3002,86.36429222,23.6658,19.4899,37.00187
ENSMUSG00000000326,Comt,,protein_coding,56.6659,665.705,258.2933,924.2241,826.344,55.981,26.36032475,580.8161,1153.22,33.7824,494.3363,20.09614,24.78142,698.197,442.0087,141.3561,1661.269,228.4685,367.775,361.295,451.355
ENSMUSG00000000339,Rtca,66368,protein_coding,0,1.92401,0,0,0,2.53376,0,5.62707,1.65354,0,0,0,2.07944,5.07262,0,0,4.60153,0,0,0,0
ENSMUSG00000000346,Dazap2,23994,protein_coding,1152,3507,1816,1844,5491,1710,467,1765,2516,366,2029.83,1498,806,3053,1108,287,4664,1642,1980,2827,3646
ENSMUSG00000000355,Mcts1,68995,protein_coding,134.99979,491.99983,385.00045,427.00025,754.9995,249.9999,45.99999,221.99986,440.99982,89.99995,392.9996,247.99991,53.99999,415.00045,329.99968,60.00003,534.99997,632.99974,168.00002,293.00021,315.00019
ENSMUSG00000000359,Rem1,19700,protein_coding,7,2,0,1,0,2,2,2,2,1,1,6,2,0,0,0,1,0,5,6,6
ENSMUSG00000000365,Rnf17,30054,protein_coding,0,0,14,5,2,2,0,4,10,0,2,2,0,0,0,0,3,6,3,4,1
ENSMUSG00000000374,Trappc10,102641872;216131,protein_coding,108,102,156,78,66,57,28,235.764,395.595,12,28,46,19,26,174,28,99,195,180.575,241,242
ENSMUSG00000000378,Ccm2,216527,protein_coding,355.371,249.3844,462.81758,324.918,384.35907,335.18931,80.7235,207.20066,293.709,59.4973,108.7395,187.65399,72.42775,48.95535,607.9302,79,193.8984,219.987,322.40158,359.35376,519.43745
ENSMUSG00000000381,Wap,22373,protein_coding,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000000384,Tbrg4,,protein_coding,96.56440731,62.9336652,168.1461992,164.2383021,93.07506934,101.161193,34.02673437,174.6738923,508.7735804,25.10636551,49.21,97.88983573,38.90328,20.45029624,77.50352693,41.75415375,116.510011,165.3686841,109.4023403,132.2656127,125.4582094
ENSMUSG00000000385,Tmprss2,50528,protein_coding,4,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,0,0
ENSMUSG00000000386,Mx1,,protein_coding,56.99613,35,88,25,27.99995116,29.448184,11,15.000034,27,10,13,18.00000077,3,0,0,1,5,37,53,89.83344,95.5177
ENSMUSG00000000392,Fap,14089,protein_coding,4,1,1,0,4.00336,0,0,4.89E-06,0,0,0,1,0,0,0,0,2,2.000004,5,4,3
ENSMUSG00000000394,Gcg,14526,protein_coding,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000399,Ndufa9,66108,protein_coding,183.517,472.559,69.5264,59.449,781.307,367.068,25.7982,6.95126,74.6101,99.9718,325.239,317.405,97.6259,498.843,1.06694,53.4167,1018.07,799.498,26.2372,0,41.9687
ENSMUSG00000000402,Egfl6,54156,protein_coding,3.70146,2.00309,3.27497,6.19707,1.00512,2.00085,0,1.00698,6.0271,0,0,0,0,0,0,0,0,4.04402,20.3027,1.0111,16.0973
ENSMUSG00000000409,Lck,,protein_coding,31.51119,40.202683,183.5018002,142.4109,235.9731,172.50125,11,10.75330002,67,3,15,25.99995,2.000000013,4,1,47.9999933,155.64003,268.2102,81.00004,79.00005,116.00006
ENSMUSG00000000411,Tssk3,58864,protein_coding,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000000416,Cttnbp2,,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,11,0,0
ENSMUSG00000000420,Galnt1,,protein_coding,224.1206,89.3701,295.908,250.086,224.474,89.8336,67,265,414.5271,74,114.1335,103.1694,29,73,611,31.0828,240.0004,596.99975,130.62691,224.7282,259.903
ENSMUSG00000000435,Myf5,17877,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000439,Mkrn2,67027,protein_coding,76.6565,102.791,184.449,139.795,273.743,153.142,37.6854,75.624,137.599,29.6048,83.0966,113.143,36.6439,96.8859,46,21.7703,162.697,180.626,42.7011,55.5021,91.5834
ENSMUSG00000000440,Pparg,19016,protein_coding,0,1.58315,2.25707,3,1,2,1.24081,3,4,0,0,2,0,0,0,1,0,1,24,9,13
ENSMUSG00000000441,Raf1,,protein_coding,39.6658,89.1322,168.0063,177.1511,170.0962,7.347570124,8.5234,242.847,146.4435,3.100911,13.42631023,10.019,0,2.68561,0,0,62.79518,170.3348,179.4313,158.9118,331.6314
ENSMUSG00000000486,1-Sep,54204,protein_coding,400.00008,274.99999,346.00006,411.00022,813.00024,635.999945,117.0004,195.0001,181.265541,33.00005,38,168.00008,18.999999,46.99999,170.0001,66.99999,142.99995,223,139.99997,138,291.99987
ENSMUSG00000000489,Pdgfb,18591,protein_coding,27,6,42,2,2,7,0,0,5,3,1,2,0,0,0,2,10,9,9,7,5
ENSMUSG00000000530,Acvrl1,,protein_coding,71,69,95,24.99996,40.99998,21.99998,11.99999,181.054,12,8,21.00004,25,1,1,0,0,2.000001,2,207,571.99984,285
ENSMUSG00000000531,Grasp,56149,protein_coding,9.0532,6.34133,38.0637,93.1774,38.6299,49.9557,3.46584,11.3124,29.9957,7.02531,31.9945,13.9302,4.00277,5.83887,0,1.03667,8.08965,12.146,25.0245,30.5975,18.1646
ENSMUSG00000000538,Tom1l2,216810,protein_coding,47,31,145,99,78.42867,77,19,50,81,4,22,27,7,4,89,14,22,31,32.07059,42,87
ENSMUSG00000000544,Gpa33,59290,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000552,Zfp385a,29813,protein_coding,54,34,133,30,26,33,11,18,73,19,20,39,5,5,13,12,19,6,57,54,50
ENSMUSG00000000555,Itga5,16402,protein_coding,110,134,224.95,96.9959,79,162,32,137,270.991,29,74,113,21,53.9925,354.959,56.994,128,189.972,6.80E-06,106.986,110.996
ENSMUSG00000000560,Gabra2,14395,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000561,Wdr77,70465,protein_coding,22.72882,106.56369,52.791,52.2972,110.48427,8.87741,6.07045,21.17069,35.42101,0,44.48414,55.11717,42.5777,26.9578,3.09926,3.52773,172.43896,23.12005,43.6202,52.6532,26.2016
ENSMUSG00000000562,Adora3,11542,protein_coding,11.0115,12.004583,14.0037,3.2058,3.01066,0,0,22.5621,24.784,0,8.01456,9.02147,1.23018,1.8264,14.0083,0,1.00424,5,31.12862,23.6076,24.287
ENSMUSG00000000563,Atp5f1,11950,protein_coding,1053.3943,6002.77,1798.212,3730.75534,9132.74285,1762.301,861.31656,2340.39783,3164.43009,1062.37592,4414.7991,1362.05359,1291.006,6042.38,893,1410.277,10931.71,4552.28228,895.51574,1516.68063,1917.59287
ENSMUSG00000000567,Sox9,20682,protein_coding,0,0,1.03612,1,0,0,1,0,0,0,1,1.70676,0,0,0,0,1.37393,0,10,1,3.11485
ENSMUSG00000000568,Hnrnpd,11991,protein_coding,316.69575,393.5388,906.9212439,631.50549,479.26658,226.83195,168.059162,753.78189,1438.1344,151.73549,402.62882,293.44522,98.00522,160.19023,181.65387,160.74426,357.465843,921.60539,328.0842,399.671,602.06986
ENSMUSG00000000579,Dynlt1c,100040563,protein_coding,152.67594,202.64341,211.4504,279.53405,486.89037,187.61235,66.2991,232.0679,176.64104,119.99487,209.2208,117.16701,43.90937,163.8795,39.85884,68.2861,283.9268,237.1529,242.3008,138.23203,295.0755
ENSMUSG00000000581,C1d,57316,protein_coding,191.99948,663.99988,396.0001,485.99963,1269.004,537.00051,69.99995,234.99965,441.00034,134.0002,517.0005,418.99991,116.99991,584,630.00042,151.00047,1363.996874,675.9999,117.00011,257.00014,290.99957
ENSMUSG00000000594,Gm2a,14667,protein_coding,2022,2446,1638,1591,4711,2242,296,483,1161,950,3062,1886,641,1644,2307,72,693,370,986,1206,1686
ENSMUSG00000000600,Krit1,79264,protein_coding,10.63267,16.44374,13.54687,39.30588,54.2867,28.9712,0,13.5805,43.8811,0,3.28089,8.5207,0,13,0,7.61231,26.126,38.5378,28.283,35.9884,43.904
ENSMUSG00000000605,Clcn4-2,12727,protein_coding,112.127,85.8806,413.851,260.121,231.444,174.357,36.9701,211.878,339.974,20.5288,68.5364,138.271,6.12183,34.8175,0,23.0834,90.5154,214.847,195.286,256.98,380.541
ENSMUSG00000000606,Vmn2r88,,protein_coding,1,2,0,0,0,0,1,0,1.01304,1,0,0,0,0,0,0,1,0,2,0,0
ENSMUSG00000000617,Grm6,,protein_coding,22.00005,9,35,1,5,4.00000383,9,12.999981,24.00003,1,2,1.999995759,1,1,0,0,1,3,6.999995347,7,6
ENSMUSG00000000627,Sema4f,20355,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000628,Hk2,15277,protein_coding,56.09,55.6693,147.743,54.504,52.0097,15.4662,21.707,184.583,307.989,1.58808,22.5598,10.2409,1.94748,18.3503,75.4723,0,4.60732,22.7036,219.516,284.454,277.893
ENSMUSG00000000631,Myo18a,360013,protein_coding,258.55416,296.8934,521.108759,657.28988,465.045339,566.13355,81.99285,463.46975,837.71611,144.94841,319.61745,470.11927,66.32785,91.59139,420.71294,139.08322,317.00066,559.35034,359.9644,386.42892,640.71342
ENSMUSG00000000632,Sez6,20370,protein_coding,9,6.00093,5.04005,14.1512,1.00271,7,51.0053,23.885,43.0938,7.12032,12.235,9,9,9.00176,13.1303,5.00087,7.02502,11.0595,45.776,30.2793,27.9476
ENSMUSG00000000673,Haao,107766,protein_coding,159,247,172,186,293,292,47,70,194,83,182,234,49,105,0,10,35,56,178,240,211
ENSMUSG00000000682,Cd52,23833,protein_coding,4429.00318,5315.00374,3573,2002.00376,3221.00482,1726.99584,2202.00124,12885.0265,3562,1481,2942.99948,1137,406,1209,1252,243.00024,690,1388,9937.00454,11735.01737,16059.01862
ENSMUSG00000000686,Abhd15,67477,protein_coding,68.4345,65.6935,43.0751,90.5728,147.681,116.03168,18,20.8942,32,21,50.3151,120,11.9941,18.5894,1,6,10,33.5836,16.9255,27.3456,51.9453
ENSMUSG00000000690,Hoxb6,15414,protein_coding,3,0,4,7.347759,0,1,0,0,0,0,1.00399,0,0,0,0,0,0,0,3.49375,0,0
ENSMUSG00000000693,Loxl3,16950,protein_coding,37.91814,6.425166,40.8963,11.13836,3.19543,10.148449,2.25359,13.7409,23.055,4.789739,2.24609,10.41389,0,4.393463,0,1.27627,6.397567,15.83189,2.67778,16.18491,7.526934
ENSMUSG00000000701,Tcl1b5,27382,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000706,Btn1a1,12231,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000000708,Kat2b,18519,protein_coding,6.79753,2.888948,46.20165,10.71686,2.23904,3.9127797,7.323178,11.2054,25.8419,0.806815,0.0255513,2.042947,0,0,0,2.89459,1.671312,10.71023,36.4119,24.6332,15.9188
ENSMUSG00000000711,Rab5b,19344,protein_coding,198.347,199.781,246,150.28,189.907,123.413,52.6914,298.314,260,14,71,98.8387,32.8331,73.6194,175,18,57.5999,96.9066,252.677,313,406
ENSMUSG00000000724,Cryba1,12957,protein_coding,0,5.06168,2.01915,13.4271,8.11571,0,0,9.11016,13.4179,0,4.10766,0,0,1.0058,0,0,3.01818,1.00266,13.63,8.16096,11.2404
ENSMUSG00000000730,Dnmt3l,,protein_coding,16,10,6,0,2,2,4,19.00004,6,0,0,2,1.99999,5,0,3,3,3,7,17,20
ENSMUSG00000000731,Aire,11634,protein_coding,0,0,9.53538,12.97258,4.153941,4,0,2.46489,2.57483,0,1.194893429,6,0,0.217291,0,1.00999,11.2449,7.169573,1.29116,5.79143,0
ENSMUSG00000000732,Icosl,50723,protein_coding,5.39435,10.8056,0,0,31.0148,0,0,0,0,0,0.297058,16.6226,0,4,0,0,0,0,0,0,0
ENSMUSG00000000738,Spg7,234847,protein_coding,179.2683,131.0989,271.37199,131.29028,204.904978,374.95654,63.66123,140.9091241,164.9014,59.32661,104.9999167,191.1027,41.00001,44.87766,79.829,88.94395,116.01947,279.7772,95.37658,76.43244,74.81988259
ENSMUSG00000000739,Sult5a1,57429,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000740,Rpl13,100040416;270106,protein_coding,8173.6105,16738.24653,6792.9953,15560.31439,23038.5361,17752.39651,5588.3099,5636.22384,13029.98171,15883.5828,15269.57006,12956.28762,13016.29164,14518.57443,10323.2678,21107.7227,31435.5746,16245.66283,2410.00843,4586.2832,3534.227
ENSMUSG00000000743,Chmp1a,234852;102642050,protein_coding,365,759.9995,622,465.98963,765,530.00048,134,397,597,107,323,402,202,416,204,167,1060.00341,556,348,648,658
ENSMUSG00000000751,Rpa1,68275,protein_coding,242.02789,830.99976,704.90633,734.4136,1226.06592,583.9996,133.0003,535.3933,1024.38127,174.90827,758.01,501.96902,153,567.00045,1428.2,232.964806,1623.4769,1357.65278,250,294.08865,400.908595
ENSMUSG00000000753,Serpinf1,20317,protein_coding,85.971628,173.50083,152.6526,216.787,357.57657,456.58751,50.98083,28.4165,154.04897,136.27449,281.36267,461.7646,126.3638,152.24122,655.58303,6.2824,0,28.0516,15.0129,9.06369,24.3145
ENSMUSG00000000759,Tubgcp3,,protein_coding,73,83.46192,141.24381,157.81593,88.28932,140.67506,24.85514,126.47299,260.17574,16.8814,47.08256,55.911,8,50.047065,109,28,133.25826,255.96411,78.1594,92.879,136.7281
ENSMUSG00000000766,Oprm1,18390,protein_coding,2,1,9,2,3,5,3,2.27632,0,1,1,1,0,1,0,0,0,3,10,11,4.00688
ENSMUSG00000000776,Polr3d,,protein_coding,31.3824,43.9102,125,0,91.3559,16.0136,11,48,73.8007,12.5272,0.566544,0,13,18,14,1.59E-06,0.0033248,117.844,9.17E-07,30,72
ENSMUSG00000000782,Tcf7,21414,protein_coding,20,6,17,43,54.00004,55,2,3.999997,18,3,5,9,0,4,1,23,74,243.9996,10,8,19
ENSMUSG00000000787,Ddx3x,13205,protein_coding,323.42,347,541,689,475,280,81,743.0004,1340.00445,79,215,195,42,117.221,439.993,126,376,1165,744,928,1035
ENSMUSG00000000791,Il12rb1,16161,protein_coding,13.5,0,0,17.941,18.7057,22.5,0,0,0,0,0,0,1,0,0,0,3,11.931,0,0,0
ENSMUSG00000000792,Slc5a5,114479,protein_coding,0,0,2,1,0,0,0,0,2,1,0,1,0,0,0,1,2,0,3,0,4
ENSMUSG00000000794,Kcnn3,140493,protein_coding,0,0,0,0,0,0,2.000005,0,0,1,0,0,0,1,0,0,0,1,3,1,0
ENSMUSG00000000804,Usp32,237898,protein_coding,45.999963,28.0000346,108,59.99997,28,17.00004,19.999974,73.99996,149.9995,1.86516,12,15,0,5.56021,3,11.99997,56.999952,122.00017,239.99964,293.0001,335.99975
ENSMUSG00000000805,Car4,12351,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000811,Txnrd3,232223,protein_coding,52,0,32.5616,46.1866,0,0,8,7,42.1597,11,0.293464,15.7563,9,0,6,0,0,58.0528,5,0,15
ENSMUSG00000000817,Fasl,14103,protein_coding,1,1,11,0,2,0,0,4,2,1,0,1,0,0,0,1,3,5,3,3,1
ENSMUSG00000000823,Znf512b,269401,protein_coding,89.49484,63.24276,316.0005,247.33578,114.2188,105,16,88.29912,185.66036,12,51.91014,39.10449,11,13.98859,0,29.16919,41.52174,117,67.6165,64.20381,85.11295
ENSMUSG00000000826,Dnajc5,,protein_coding,44.56999,33.15629,2.29885,20.60988,32.13043,24.5131,16.9981,32.90328,31.7142,6.3208,13.311378,5.02097,17.249422,8.42586,186.4393,10.21944,77.7071,15.28714,19.77122,16.4915,13.33068
ENSMUSG00000000827,Tpd52l2,66314,protein_coding,182.04,285.79386,205.18988,215.02892,429.8759,223.7011884,64.92783,123.5445,173.948,71.07034,142.1143,201.0078707,117.8309,186.12116,101.011,127.93065,879.5608072,455.30339,75.435557,94.07506,83.914
